Stack017_c1.tif,0,4,304,353
Stack017_c1.tif,1,10,828,899
Stack017_c1.tif,2,7,912,887
Stack017_c1.tif,3,3,721,195
Stack017_c1.tif,4,6,325,190
Stack017_c1.tif,5,5,821,940
Stack017_c1.tif,6,7,642,715
Stack017_c1.tif,7,6,53,616
Stack017_c1.tif,8,4,675,224
Stack017_c1.tif,9,7,1003,776
Stack017_c1.tif,10,6,477,727
Stack017_c1.tif,11,5,318,651
Stack017_c1.tif,12,4,667,722
Stack017_c1.tif,13,4,618,483
Stack017_c1.tif,14,6,319,306
Stack017_c1.tif,15,4,615,147
Stack017_c1.tif,16,6,607,115
Stack017_c1.tif,17,3,544,109
Stack017_c1.tif,18,4,473,697
Stack017_c1.tif,19,4,633,507
Stack017_c1.tif,20,6,389,677
Stack017_c1.tif,21,6,825,885
